eeschema (2010-05-05 BZR 2356)-stable  >> Creation date: 01/10/11 18:07:10

#Cmp ( order = Value )
| 100          R1        ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D06     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D07     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D08     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D09     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D10     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D11     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D12     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D13     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D14     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D15     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D16     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D01     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D02     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D03     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D04     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D05     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D06     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D07     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D08     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D09     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D10     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D11     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D12     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D13     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D14     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D15     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      10D16     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| MODE         SW3       ; SW_PB_V     ; P10884S-ND  ;             ;             ;             ;             ;             ;             ;             
| PWR          D4        ; led_5mm_blue;             ;             ;             ;             ;             ;             ;             ;             
